Humedad (%),Cultivo,Elevación (m),Salinidad (dS/m),Temperatura (°C),Latitud,Longitud
35.4,Maíz,32.1,1.18,30.9,25.525.269,-108.480.884
20,Maíz,40.8,3.3,27.5,25.600.618,-108.519.701
43.3,Maíz,21.9,1.17,31.8,25.577.411,-108.465.669
36.3,Maíz,41.7,2.93,25.3,25.616.337,-108.470.516
17.3,Chile,31.8,1.91,29.1,25.522.286,-108.480.179
22,Chile,32.6,1.62,35.2,25.569.703,-108.501.312
19.1,Chile,21.4,3.9,25.7,25.579.862,-108.510.461
28.3,Tomate,18.1,0.54,37,25.536.138,-10.845.039
20.1,Chile,36.7,2.54,25.9,25.543.936,-108.464.508
6,Maíz,31.9,0.85,33.2,25.568.602,-108.436.378
41.7,Chile,45.1,2.52,21.6,25.615.186,-108.428.339
19.5,Tomate,12.2,2.18,28.8,25.601.332,-108.469.617
22.3,Maíz,34.2,1.35,34.5,2.557.396,-108.487.928
11,Chile,49.4,3.75,35,25.551.895,-108.489.976
40.8,Chile,31.9,1.32,20.7,25.612.299,-108.422.137
6.9,Tomate,20.7,1.8,22.7,25.562.234,-108.464.749
20.6,Maíz,46,2.39,38.8,25.544.452,-108.430.058
32.3,Tomate,29.9,2.22,25.4,25.610.699,-108.480.493
39.2,Tomate,25,1.66,29,25.617.916,-108.447.962
25.9,Maíz,42.2,0.56,30.1,25.566.207,-108.509.164
9.2,Maíz,39.8,2.23,24.9,25.577.242,-108.452.329
8.1,Maíz,36.7,1.98,32.5,25.601.426,-108.507.991
28.2,Maíz,10.6,0.95,38.8,25.578.539,-108.502.035
5.5,Tomate,23.1,1.49,25.9,25.545.519,-108.503.949
16.2,Chile,14.4,2.97,22.8,25.585.059,-108.452.106
11.2,Tomate,16.9,1.5,32.4,25.576.974,-108.502.348
39.6,Tomate,18.7,3.92,20.7,25.597.132,-108.476.836
21,Chile,11.1,3.25,26.9,25.530.344,-108.485.571
8.2,Chile,23.9,1.28,30.6,2.556.348,-108.445.757
13.9,Tomate,21.2,0.64,26.2,25.593.413,-108.491.781
16.2,Chile,22.4,0.66,36.5,25.571.965,-108.492.518
43.3,Tomate,45.6,1.56,22,25.615.266,-108.487.209
43.3,Chile,49.7,1.9,34.8,25.558.179,-108.518.102
29.6,Maíz,18.2,1.17,29.1,25.568.482,-108.442.325
18.9,Maíz,29.9,2.02,36.8,25.618.887,-108.518.957
32.6,Tomate,35,0.96,27.7,25.576.783,-108.517.817
31.7,Chile,23.4,1.17,25.5,25.568.994,-108.472.747
10.7,Maíz,10.3,2.44,25.3,25.614.042,-108.493.219
42.7,Chile,10.1,1.36,35.3,25.600.457,-108.496.185
22.9,Maíz,20.1,2.92,29.5,25.615.359,-108.497.118
29.1,Chile,12.3,2.89,23,25.556.258,-108.430.394
33.2,Chile,14,0.78,29.8,25.540.828,-108.460.249
35.6,Chile,44.6,3.56,30.5,25.607.947,-108.464.478
9.5,Maíz,41.4,2.6,34.8,25.541.347,-108.453.822
13.6,Chile,40.7,0.94,26.6,2.553.381,-108.519.463
42,Chile,43.6,2.18,25.2,25.570.288,-108.449.353
25.6,Chile,11,1.84,25.5,25.594.593,-108.509.253
33.2,Tomate,18.9,3,26.4,2.561.416,-108.455.096
44.3,Tomate,24.9,3.88,27.4,25.603.546,-108.489.592
35.9,Chile,13.1,1.28,30.6,2.559.215,-108.519.166
31.1,Chile,34.3,0.74,26.6,25.599.119,-108.497.474
9.9,Tomate,20.7,0.6,26.5,25.541.617,-108.420.215
24.2,Tomate,20.1,0.94,36.6,25.546.029,-108.501.044
40.8,Tomate,45.8,0.96,31.5,25.601.962,-108.439.458
11.2,Maíz,30.7,1.49,28.1,25.590.474,-108.495.022
29.1,Maíz,27.9,2.99,35.8,25.541.885,-108.438.006
37.7,Tomate,10.2,3.84,27.5,25.566.371,-108.471.062
35.7,Maíz,11.4,3.89,24.7,25.577.648,-108.496.633
23.9,Maíz,44.9,1.81,28.3,25.603.601,-10.844.998
40.2,Chile,11.1,1.32,25.2,25.559.236,-108.518.247
6.3,Maíz,21.7,1.32,40,25.551.866,-108.445.206
44.9,Chile,14.2,1.52,36.1,25.533.315,-108.423.948
43.1,Maíz,25.7,1.61,37.2,25.544.761,-108.468.132
31.3,Tomate,39.9,0.87,32.5,25.579.027,-108.490.022
11.9,Chile,40,3.25,29.4,2.561.422,-108.448.072
22.5,Chile,22.2,2.33,25.7,25.547.955,-108.450.106
23.1,Chile,13.9,3.02,22,25.523.878,-108.502.427
31.2,Tomate,30,1.34,30.6,25.533.115,-108.456.761
20,Maíz,15.3,2.13,29.1,256.049,-108.492.247
10.3,Maíz,42.1,2.92,28.2,25.604.552,-108.517.331
21.4,Maíz,45.1,0.55,35.5,25.561.935,-108.519.274
26.9,Maíz,32.3,3.4,25.7,25.555.427,-10.842.319
22.5,Chile,11.8,1.37,32.4,2.552.675,-108.510.972
40.9,Chile,32,3.11,28.3,25.612.885,-108.484.575
19,Tomate,43.9,3.19,38.1,25.611.875,-108.508.331
5.1,Chile,26.5,1.8,20.3,25.579.335,-108.467.927
19.9,Maíz,26.1,3.81,35.5,25.576.945,-108.502.777
27.9,Maíz,37.6,0.88,31.5,25.611.043,-108.508.468
14.6,Tomate,45,1.12,24.7,25.531.398,-108.506.489
33.7,Chile,22,1.19,22.1,25.548.237,-108.516.646
15.9,Tomate,30.1,3.3,23.1,25.554.671,-108.501.926
44.8,Maíz,31.6,2.13,34.7,25.521.859,-108.513.298
26.6,Maíz,38.7,1.25,32.8,25.613.286,-108.490.537
26.7,Tomate,41.5,3.21,33.8,25.559.703,-108.441.534
6.4,Maíz,47.4,3.57,36.4,25.544.613,-108.504.298
12.7,Maíz,34.3,1.06,30.8,25.544.125,-108.453.288
22.3,Tomate,35.1,3.19,20,25.539.745,-10.845.725
27.1,Tomate,46.7,2.02,38.7,25.574.685,-10.844.159
24.6,Chile,32.2,1.84,32.8,25.544.383,-108.422.493
31.2,Tomate,28.8,3.22,31,25.582.556,-108.505.056
31.5,Chile,39.3,3.95,38.9,25.539.601,-108.468.409
10.7,Tomate,37.8,2.88,30.1,25.578.598,-108.509.114
35.6,Tomate,49.4,3.68,38,25.589.127,-108.497.769
9.9,Maíz,23.5,3.07,25.1,25.528.027,-108.472.023
26.2,Chile,44.3,2.69,38.1,25.537.541,-108.497.964
29.7,Tomate,14.5,1.54,28.3,25.567.005,-108.462.403
28.9,Maíz,39.9,1.64,31.4,25.533.387,-108.472.275
25.5,Maíz,37.8,0.87,20.8,25.555.069,-108.457.875
17.5,Chile,23.3,1.58,22.3,25.569.962,-10.845.769
12.5,Tomate,43.7,1.65,23.3,25.570.974,-108.420.756
